# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
jie gu ao 	解僱熬	c=1 d=1 t=9193
jie guo 	結果	c=8 d=0.219442 t=9632
jie jing 	結晶	c=1 d=1 t=4000
jie jiu xiao chou 	借酒消愁	c=1 d=1 t=6589
jie jue 	解決	c=5 d=1.6005 t=8076
jie jue le 	解決了	c=1 d=1 t=5772
jie kou 	接口	c=4 d=1.00004 t=6003
jie mian 	界面	c=3 d=1.00001 t=8196
jie pi 	潔癖	c=1 d=1 t=974
jie shao 	介紹	c=13 d=1 t=11477
jie shao ren 	介紹人	c=1 d=1 t=10827
jie shao xia 	介紹下	c=1 d=1 t=8027
jie shao zi duan 	介紹字段	c=1 d=1 t=8606
jie shi 	解釋	c=0 d=0.1 t=9595
jie shou 	接受	c=1 d=1 t=963
jie shou 	接收	c=1 d=1 t=4940
jie shu 	結束	c=2 d=1 t=13338
jie shu le 	結束了	c=1 d=1 t=10445
jie shu li ke 	結束立刻	c=1 d=1 t=9135
jie sou 	解溲	c=1 d=1 t=962
jie suo 	解鎖	c=3 d=1.99044 t=4389
jie tu 	截圖	c=4 d=1.55711 t=8951
jie tu le 	截圖了	c=1 d=1 t=5476
jie xi 	解析	c=5 d=1.97531 t=9510
jie yun 	結雲	c=1 d=1 t=3685
jie zhe 	接着	c=2 d=1.00001 t=7685
jie zhe kan 	接着看	c=1 d=1 t=5434
jie zhi 	截至	c=1 d=1 t=9425
jie zou 	節奏	c=1 d=1 t=4156
jin 	勁	c=1 d=1 t=1988
jin 	進	c=3 d=1 t=9602
jin 	金	c=2 d=0.464465 t=3960
jin bi 	金幣	c=1 d=1 t=4547
jin bu qu 	進不去	c=1 d=1 t=14078
jin cheng 	進程	c=2 d=1.96561 t=9805
jin du 	進度	c=1 d=1 t=7221
jin jie 	進階	c=1 d=1 t=5200
jin lai 	進來	c=1 d=0.140155 t=4342
jin lai le 	進來了	c=1 d=1 t=7909
jin liang 	儘量	c=1 d=1 t=13479
jin nian 	今年	c=1 d=1 t=11212
jin piao 	金票	c=1 d=1 t=3797
jin qi 	近期	c=1 d=1 t=13468
jin qu 	進去	c=1 d=1 t=9532
jin ru 	進入	c=2 d=1.00001 t=5997
jin shi zi 	金獅子	c=2 d=1.03491 t=4632
jin tian 	今天	c=5 d=1.06561 t=14390
jin tian gei ni 	今天給你	c=1 d=1 t=9972
jin xing 	進行	c=16 d=1.00004 t=10780
jin yan 	禁言	c=1 d=1 t=12246
jin zhang 	緊張	c=1 d=1 t=3833
jin zhi 	禁止	c=1 d=1 t=14029
jing 	晶	c=1 d=0.1 t=10895
jing 	精	c=1 d=1 t=3661
jing 	經	c=6 d=1.97702 t=9598
jing chang 	經常	c=1 d=0.1 t=14384
jing chang you de 	經常有的	c=1 d=1 t=14385
jing chang you xie 	經常有些	c=1 d=1 t=1888
jing dian 	經典	c=1 d=1 t=8007
jing dong 	京東	c=3 d=1 t=10647
jing dong 	驚動	c=1 d=1 t=2014
jing guo 	經過	c=3 d=2.96042 t=1415
jing ji 	經濟	c=0 d=0.1 t=10837
jing ji qing kuai 	經濟輕快	c=1 d=1 t=10838
jing ji qing kuang 	經濟情況	c=1 d=1 t=10836
jing li 	經歷	c=6 d=1.04176 t=10580
jing ling 	精靈	c=1 d=1.00257 t=8735
jing mo 	井陌	c=0 d=0.1 t=547
jing ya 	驚訝	c=0 d=0.1 t=9584
jing yan 	經驗	c=2 d=1.10646 t=5063
jing yin 	靜音	c=1 d=1 t=12003
jiu 	就	c=44 d=3.28702 t=13214
jiu 	救	c=0 d=0.1 t=1004
jiu 	舊	c=1 d=1 t=8156
jiu bu 	就不	c=0 d=0.1 t=6270
jiu bu liao 	救不了	c=1 d=1 t=1005
jiu bu meng 	就不猛	c=1 d=1 t=6271
jiu bu neng 	就不能	c=0 d=0.1 t=11125
jiu bu tai qing chu 	就不太清楚	c=1 d=1 t=10222
jiu chu qu 	就出去	c=0 d=0.1 t=12145
jiu chu qu le 	就出去了	c=1 d=1 t=12146
jiu da duan 	就打斷	c=1 d=1 t=9012
jiu da jie ju 	就大結局	c=1 d=1 t=12087
jiu dang 	就當	c=1 d=1 t=11094
jiu gao su wo 	就告訴我	c=1 d=1 t=3497
jiu gei 	就給	c=1 d=1 t=4536
jiu hao 	就好	c=2 d=0.112155 t=10214
jiu hao le ma 	就好了嗎	c=1 d=1 t=10215
jiu huan wan le 	就換完了	c=1 d=1 t=11909
jiu hui 	就會	c=3 d=1 t=5456
jiu jiao 	就叫	c=1 d=1 t=1543
jiu jue ding 	就決定	c=1 d=1 t=10666
jiu kan 	就看	c=2 d=1 t=14530
jiu ke yi 	就可以	c=4 d=1 t=14196
jiu lai 	就來	c=0 d=0.1 t=6188
jiu lai kan kan 	就來看看	c=1 d=1 t=6189
jiu mei you 	就沒有	c=1 d=1 t=10429
jiu ni ma 	就尼瑪	c=1 d=1 t=11501
jiu pin 	九品	c=0 d=0.1 t=5115
jiu pin zhi ma guan 	九品芝麻官	c=1 d=1 t=5116
jiu qu 	就去	c=0 d=0.1 t=11031
jiu shi 	就是	c=18 d=0.100046 t=14208
jiu shi dang an 	就是檔案	c=1 d=1 t=14209
jiu shi ta 	就是他	c=1 d=1 t=5190
jiu shuo 	就說	c=1 d=1 t=8974
jiu wei 	就爲	c=1 d=1 t=7476
jiu xiang 	就像	c=2 d=1.01994 t=12887
jiu xiang zhe 	就想着	c=1 d=1 t=10296
jiu xing 	就行	c=7 d=1.01684 t=10958
jiu xing le 	就行了	c=1 d=1 t=3094
jiu ye 	就業	c=3 d=1.64376 t=13942
jiu ye xie yi shu 	就業協議書	c=5 d=3.88827 t=13922
jiu yu 	就與	c=1 d=1 t=10594
jiu yuan 	救援	c=1 d=1.00001 t=3894
jiu yue 	九月	c=1 d=1 t=10596
jiu zai 	就在	c=1 d=1 t=4474
jiu zhe 	就這	c=1 d=1 t=8809
jiu zhe ge 	就這個	c=1 d=1 t=13210
jiu zhe me jian dan 	就這麼簡單	c=1 d=1 t=6717
jiu zheng 	糾正	c=0 d=0.1 t=10843
jiu zheng chang xie 	糾正常寫	c=1 d=1 t=10844
jiu zhi ao 	就執拗	c=1 d=1 t=3825
jiu zhi dao 	就知道	c=1 d=1 t=4690
jiu zhi dao le 	就知道了	c=2 d=1 t=12216
ju 	局	c=4 d=2.4781 t=12516
ju bei 	具備	c=1 d=1 t=5748
ju feng 	巨峯	c=1 d=1 t=3677
ju ji di 	聚集地	c=1 d=1 t=4236
ju li 	距離	c=1 d=1 t=3632
ju min 	居民	c=1 d=1 t=13415
ju mo 	巨魔	c=5 d=1.90848 t=4695
ju mo zhi di 	巨魔之地	c=1 d=1 t=3850
ju qing 	劇情	c=1 d=1 t=9489
ju ti 	具體	c=2 d=1 t=14433
ju you 	具有	c=1 d=1 t=6037
ju zhang 	局長	c=1 d=1 t=11453
ju zhong 	居中	c=1 d=1 t=7359
ju zi 	橘子	c=2 d=1.37344 t=11509
juan 	卷	c=1 d=1 t=3607
jue de 	覺得	c=7 d=1.00197 t=9238
jue ding 	決定	c=3 d=1 t=13076
jue se 	角色	c=1 d=1 t=10774
jue sha 	絕殺	c=1 d=1 t=3745
jun 	君	c=1 d=1 t=4327
jun 	菌	c=1 d=1 t=5842
jun ming 	君命	c=1 d=1 t=12794
ka 	卡	c=17 d=3.13612 t=13746
ka dun 	卡頓	c=1 d=1 t=1889
ka fei 	咖啡	c=1 d=1 t=11245
ka hao 	卡號	c=2 d=1.97045 t=13528
ka ke 	卡客	c=1 d=1 t=2460
ka le 	卡勒	c=1 d=1 t=3708
ka pian 	卡片	c=4 d=1 t=8039
kai 	開	c=11 d=3.3702 t=8732
kai fa 	開發	c=36 d=1.23457 t=14491
kai fa de 	開發地	c=1 d=1 t=6248
kai fa zhe 	開發者	c=1 d=1 t=11298
kai fang 	開放	c=1 d=1 t=8753
kai hu 	開戶	c=1 d=1 t=10559
kai huang 	開荒	c=6 d=1.5628 t=5322
kai hui 	開會	c=1 d=1 t=5527
kai ji 	開機	c=3 d=1.04987 t=10699
kai kou 	開口	c=3 d=2.96536 t=5863
kai le 	開了	c=2 d=1.42528 t=2505
kai qi 	開啓	c=4 d=1.00098 t=2246
kai shi 	開始	c=3 d=1 t=12569
kai ti 	開題	c=4 d=1.00517 t=12626
kai ti bao gao 	開題報告	c=2 d=1.0234 t=3036
kai tou 	開頭	c=1 d=1 t=12937
kai wan 	開完	c=1 d=1 t=2495
kai yuan 	開源	c=5 d=2.9458 t=9619
kai yuan xie yi 	開源協議	c=1 d=1 t=2583
kan 	看	c=13 d=1.30442 t=13303
kan bing 	看病	c=1 d=1 t=10986
kan bu dao 	看不到	c=1 d=1 t=3446
kan dan 	看淡	c=0 d=0.1 t=1940
kan dan mu 	看淡木	c=1 d=1 t=1941
kan dao 	看到	c=16 d=1.13709 t=14612
kan dao ge 	看到個	c=1 d=1 t=14613
kan de 	看得	c=2 d=1.04856 t=5426
kan guo 	看過	c=1 d=1 t=11514
kan hao 	看好	c=1 d=1 t=5712
kan kan 	看看	c=16 d=1.72253 t=13019
kan kan ba 	看看吧	c=1 d=1 t=14554
kan kan jiu xiang 	看看就像	c=1 d=1 t=2106
kan lai 	看來	c=1 d=1 t=7662
kan le 	看了	c=3 d=1.14443 t=5920
kan sha 	砍殺	c=1 d=1 t=2121
kan tu le 	看吐了	c=1 d=1 t=5041
kan wan 	看完	c=2 d=0.1 t=9427
kan wan le 	看完了	c=1 d=1 t=5330
kan wan na le 	看完拿了	c=1 d=1 t=9428
kan xia 	看下	c=1 d=1 t=6731
kan zhe 	看着	c=2 d=1.91851 t=12120
kan zhong 	看中	c=1 d=1 t=12241
kang ya 	抗壓	c=1 d=1 t=5751
kao 	靠	c=2 d=1 t=14148
kao he 	考覈	c=1 d=1 t=2707
kao he biao 	考覈表	c=1 d=1 t=56
kao lu 	考錄	c=1 d=1 t=1300
kao lv 	考慮	c=5 d=1 t=14092
kao shi 	考試	c=5 d=1.0546 t=6647
kao shi ti 	考試題	c=1 d=1 t=11515
kao shi yuan 	考試院	c=1 d=1 t=5832
kao yan 	考研	c=1 d=1 t=7362
ke 	克	c=3 d=3.01591 t=3694
ke 	可	c=6 d=1 t=11490
ke 	客	c=2 d=1 t=7579
ke 	科	c=1 d=1 t=97
ke ben shang 	課本上	c=1 d=1 t=9863
ke hu 	客戶	c=0 d=0.1 t=8304
ke hu duan 	客戶端	c=14 d=1.27831 t=13179
ke ji 	科技	c=12 d=0.12338 t=11276
ke ji you xian 	科技有限	c=1 d=1 t=11277
ke ji you xian gong si 	科技有限公司	c=1 d=1 t=91
ke nan 	柯南	c=1 d=1 t=4985
ke neng 	可能	c=8 d=1 t=14413
ke neng shi 	可能是	c=1 d=0.1 t=14106
ke neng shi zhe yang 	可能是這樣	c=1 d=1 t=14107
ke qu 	可取	c=1 d=1 t=5301
ke shi 	可是	c=2 d=1.99501 t=714
ke shi hua 	可視化	c=2 d=1 t=10781
ke xi 	可惜	c=1 d=1 t=12128
ke xi le 	可惜了	c=2 d=1 t=12260
ke xue 	科學	c=14 d=1.24809 t=13699
ke yi 	可以	c=46 d=0.160841 t=14435
ke yi ba 	可以吧	c=1 d=1 t=9699
ke yi bu kan 	可以不看	c=1 d=1 t=6634
ke yi ma 	可以嗎	c=3 d=1 t=13828
ke yi yong 	可以用	c=1 d=1 t=3066
ke yi zai 	可以在	c=1 d=1 t=14436
ke zhi 	剋制	c=3 d=2.68258 t=3873
ke zhi hua 	客製化	c=2 d=1.90032 t=5470
ke zhuan zheng 	可轉正	c=1 d=1 t=6267
ke zi 	殼子	c=1 d=1 t=5265
ken ding 	肯定	c=3 d=1 t=12280
ken ding shi 	肯定是	c=0 d=0.1 t=14325
ken ding shi zhe ge le 	肯定是這個了	c=1 d=1 t=14326
kong 	恐	c=1 d=1.00006 t=4254
kong 	控	c=1 d=1 t=14010
kong 	空	c=9 d=1.10473 t=12643
kong bao long 	恐暴龍	c=1 d=1 t=2784
kong bu 	恐怖	c=2 d=1.0097 t=5182
kong bu you xi 	恐怖遊戲	c=1 d=1 t=4160
kong ge 	空格	c=1 d=1 t=12632
kong jian 	空間	c=1 d=1 t=4172
kong ming 	孔明	c=2 d=1.00011 t=13280
kong xu 	空虛	c=1 d=1 t=5513
kong zhan 	空戰	c=1 d=1 t=5932
kong zhe 	空着	c=1 d=1 t=10329
kong zhi 	控制	c=1 d=0.1 t=9770
kou 	口	c=1 d=1 t=5839
kou 	釦	c=1 d=1 t=2454
kou jiao 	口交	c=1 d=1 t=2406
kou le 	扣了	c=1 d=1 t=2472
kou zhao 	口罩	c=2 d=1.98511 t=14424
ku 	哭	c=3 d=1 t=12117
ku 	庫	c=2 d=1.08501 t=12627
ku le 	苦了	c=1 d=1 t=11469
ku li 	庫里	c=1 d=1 t=3178
kua 	誇	c=1 d=1 t=11499
kua 	跨	c=5 d=1.91551 t=6915
kua ping tai 	跨平臺	c=1 d=1 t=349
kua ye 	跨頁	c=1 d=1 t=12025
kuai 	快	c=7 d=1.96562 t=13342
kuai di 	快遞	c=2 d=1 t=9920
kuai dian 	快點	c=1 d=1 t=7146
kuai ji he suan 	會計覈算	c=0 d=0.1 t=5554
kuai ji he suan de 	會計覈算的	c=1 d=1 t=5555
kuai ji shi 	會計師	c=0 d=0.1 t=13
kuai jie fang shi 	快捷方式	c=0 d=0.1 t=14385
kuai jie jian 	快捷鍵	c=7 d=1.28224 t=14272
kuai lai 	快來	c=1 d=1 t=9365
kuai shou 	快手	c=1 d=1 t=6276
kuai su 	快速	c=2 d=1 t=3922
kuai su pai xu 	快速排序	c=1 d=1 t=1379
kuan 	寬	c=1 d=1 t=13460
kuang 	框	c=2 d=1.00083 t=11476
kuang 	狂	c=1 d=1 t=7911
kuang jia 	框架	c=8 d=1 t=14047
kuang luan 	狂亂	c=1 d=1 t=2798
kuang tu 	框圖	c=1 d=1 t=6135
kui 	虧	c=1 d=1 t=5332
kun bang 	捆綁	c=2 d=1.97531 t=4419
kuo hao 	括號	c=2 d=1 t=10360
kuo san 	擴散	c=1 d=1 t=3986
kuo yin qi 	擴音器	c=1 d=1 t=11423
kuo zhan 	擴展	c=1 d=1 t=542
la 	啦	c=2 d=1 t=11295
la 	拉	c=1 d=1 t=9000
la kai 	拉開	c=0 d=0.1 t=13
la le 	落了	c=1 d=1 t=8798
la qu 	拉去	c=1 d=1 t=10063
la shi 	拉屎	c=1 d=0.1 t=8946
la shi ne 	拉屎呢	c=1 d=1 t=8947
lai 	來	c=10 d=1.17377 t=14360
lai a 	來啊	c=1 d=1 t=7138
lai de 	來的	c=1 d=1 t=12111
lai ge 	來個	c=3 d=1 t=12245
lai kan 	來看	c=1 d=1 t=12496
lai le 	來了	c=5 d=1.15976 t=12645
lai le ma 	來了嗎	c=1 d=1 t=12092
lai shuo 	來說	c=1 d=1 t=12501
lai yi tao 	來一套	c=1 d=1 t=11564
lai zhe 	來着	c=2 d=1.00352 t=14462
lan de 	懶得	c=1 d=1 t=2030
lan mao 	懶貓	c=1 d=1 t=1907
lan qiu 	籃球	c=1 d=1 t=13736
lan se 	藍色	c=1 d=1 t=7560
lan ya 	藍牙	c=6 d=2.88839 t=14251
lang 	狼	c=5 d=1.98511 t=14328
lang 	郎	c=1 d=1 t=2590
lang fei 	浪費	c=1 d=1 t=4611
lao 	老	c=2 d=1 t=13682
lao ban 	老闆	c=1 d=0.1 t=12177
lao bei jing 	老北京	c=1 d=1 t=10110
lao dian nao 	老電腦	c=1 d=1 t=2026
lao er 	老二	c=1 d=1 t=9429
lao ge 	老哥	c=1 d=1.00114 t=9457
lao ge men 	老哥們	c=1 d=1 t=8564
lao kuan 	老款	c=1 d=1 t=8008
lao ma 	老媽	c=0 d=0.1 t=14341
lao shi 	老師	c=53 d=2.38424 t=14174
lao shi 	老是	c=1 d=1 t=10092
lao zi 	老子	c=4 d=2.64441 t=11523
le 	了	c=145 d=3.60389 t=14622
le 	樂	c=1 d=1 t=1057
le ma 	了嗎	c=1 d=0.1 t=14551
le wang 	樂網	c=1 d=1 t=10706
le yi 	了一	c=0 d=0.1 t=661
lei 	磊	c=2 d=1 t=11280
lei 	累	c=2 d=1.02844 t=5252
lei 	雷	c=1 d=1 t=4142
lei 	類	c=1 d=1 t=3926
lei bie 	類別	c=0 d=0.1 t=5453
lei dian 	雷電	c=1 d=1 t=3625
lei shui 	淚水	c=1 d=1 t=5921
lei si 	累死	c=1 d=1 t=12302
lei si 	類似	c=4 d=1.27161 t=5699
lei xing 	類型	c=16 d=1.00003 t=14435
leng 	冷	c=1 d=1 t=10342
li 	力	c=3 d=2.54218 t=4582
li 	李	c=7 d=1.00091 t=13579
li 	裏	c=15 d=2.54171 t=12875
li 	麗	c=3 d=1.15616 t=12430
li hai 	厲害	c=1 d=1 t=11963
li jian 	立見	c=1 d=1 t=8489
li jie 	理解	c=3 d=1 t=7030
li kai jia 	離開家	c=0 d=0.198511 t=16
li ke 	立刻	c=0 d=0.1 t=9134
li lun shang 	理論上	c=0 d=0.1 t=3182
li ma 	立馬	c=1 d=1 t=6629
li mian 	裏面	c=1 d=1 t=2066
li miao miao 	李苗苗	c=5 d=1.00015 t=12837
li pin 	禮品	c=0 d=0.1 t=2448
li pin ka 	禮品卡	c=2 d=1.75957 t=2504
li ren 	利刃	c=2 d=1.99501 t=2800
li ru 	例如	c=2 d=1 t=10852
li shi 	歷史	c=1 d=1 t=6550
li shui qiao 	立水橋	c=11 d=5.78408 t=13657
li wen 	李文	c=0 d=0.100317 t=1776
li wen hui 	李文會	c=1 d=1 t=626
li wen liang 	李文兩	c=1 d=1 t=1777
li xi 	利息	c=1 d=1 t=12991
li xue 	李雪	c=0 d=0.1 t=10895
li xue jing 	李雪晶	c=1 d=1 t=10896
li yong 	利用	c=2 d=1.956 t=10786
li you 	理由	c=2 d=1 t=12207
li zhan 	力戰	c=6 d=2.40432 t=4607
li zhi 	理智	c=1 d=1 t=1781
li zhi 	離職	c=1 d=1 t=9994
lian 	練	c=1 d=1 t=3799
lian 	聯	c=1 d=1 t=13894
lian 	臉	c=4 d=1 t=12119
lian 	連	c=5 d=1.00132 t=5007
lian biao 	鏈表	c=2 d=1 t=9823
lian bu shang 	連不上	c=2 d=1 t=14250
lian dong 	聯動	c=1 d=1 t=9571
lian ji 	聯機	c=3 d=1.058 t=4730
lian ji 	連擊	c=1 d=1 t=3681
lian jie 	連接	c=9 d=2.96493 t=14284
lian pen 	臉盆	c=1 d=1 t=3664
lian tong 	聯通	c=1 d=1 t=2380
lian xi 	聯繫	c=3 d=1 t=14049
lian xi yi xia ma 	聯繫一下嗎	c=1 d=1 t=10278
lian xu 	連續	c=3 d=2.95072 t=10583
liang 	亮	c=1 d=1 t=1778
liang 	兩	c=1 d=0.160507 t=1776
liang bian 	兩邊	c=1 d=1 t=1256
liang bu 	兩步	c=2 d=0.1 t=6044
liang bu 	兩部	c=1 d=1 t=196
liang bu yan zheng 	兩步驗證	c=2 d=1.82696 t=6083
liang ci 	兩次	c=0 d=0.1 t=10658
liang dian 	兩點	c=1 d=1 t=14350
liang ge 	兩個	c=8 d=1.00002 t=14025
liang ge le 	兩個了	c=1 d=1 t=3395
liang ge zi 	兩個字	c=2 d=1.08629 t=2299
liang hao 	良好	c=3 d=1 t=10840
liang le 	涼了	c=1 d=1 t=2049
liang mian 	兩面	c=3 d=2.62444 t=13891
liang tai 	兩臺	c=1 d=1 t=3367
liang tiao 	兩條	c=1 d=1 t=2013
liang ye 	兩頁	c=2 d=1.95123 t=11091
liang zu 	兩組	c=1 d=1 t=9437
liao 	了	c=0 d=0.1 t=1966
liao 	聊	c=7 d=1 t=9635
liao jie 	瞭解	c=8 d=1 t=14115
liao jie guo 	瞭解過	c=4 d=2.32961 t=7169
liao jie xia 	瞭解下	c=2 d=1 t=12301
liao jie yi xia 	瞭解一下	c=1 d=1 t=13805
liao tian 	聊天	c=1 d=1 t=5857
lie 	列	c=1 d=1 t=5702
lie bai 	列拜	c=1 d=1 t=12060
lie bao 	獵豹	c=13 d=1 t=14183
lie bao yi dong 	獵豹移動	c=6 d=1.80252 t=13787
lie biao 	列表	c=3 d=1 t=11236
lie biao can shu 	列表參數	c=1 d=1 t=1312
lie che 	列車	c=2 d=1.61878 t=9739
lie kai 	裂開	c=1 d=1 t=8788
lie ren 	獵人	c=1 d=1 t=4032
lin 	林	c=1 d=1 t=4382
lin cong 	林聰	c=0 d=0.1 t=10888
ling 	零	c=5 d=1.99501 t=11633
ling 	靈	c=1 d=1 t=4537
ling 	領	c=2 d=1 t=14559
ling dao 	領導	c=1 d=1 t=1477
ling dian 	零點	c=1 d=1 t=3401
ling huo 	靈活	c=1 d=1 t=8208
ling ju li 	零距離	c=1 d=1 t=3636
ling qu 	領取	c=2 d=1.96079 t=4310
ling tai 	靈臺	c=1 d=1 t=3823
ling yi chang 	另一場	c=1 d=1 t=14081
ling yu 	領域	c=1 d=1 t=6909
ling zhi 	靈芝	c=1 d=1 t=11446
liu 	劉	c=20 d=2.0166 t=13169
liu 	留	c=1 d=1 t=4568
liu bai 	留白	c=1 d=1 t=12061
liu bei 	劉備	c=5 d=3.75681 t=11531
liu bo 	劉波	c=1 d=1 t=11582
liu chang 	流暢	c=1 d=1 t=9243
liu cheng 	流程	c=10 d=0.332255 t=14473
liu cheng tu 	流程圖	c=9 d=2.91098 t=8034
liu dan 	榴彈	c=2 d=1.00143 t=5097
liu dong 	流動	c=1 d=1 t=5662
liu jiao shou 	劉叫獸	c=2 d=1.98511 t=9411
liu lan qi 	瀏覽器	c=1 d=1 t=10903
liu liang 	流量	c=1 d=0.1 t=9770
liu liang kong zhi 	流量控制	c=1 d=1 t=9771
liu ri 	六日	c=1 d=1 t=4936
long 	龍	c=31 d=1.04482 t=13668
long ren 	聾人	c=0 d=0.1 t=2771
long ren 	龍人	c=1 d=1 t=2777
lou 	樓	c=8 d=1.70379 t=14037
lou chu 	露出	c=1 d=1 t=4413
lou dong 	漏洞	c=1 d=1 t=8079
lou zhu 	樓主	c=1 d=1 t=6887
lu 	錄	c=1 d=1 t=8938
lu 	陸	c=0 d=0.1 t=3855
lu 	鹿	c=1 d=1 t=3659
lu fei 	路費	c=1 d=1 t=10657
lu guo 	路過	c=1 d=1 t=3907
lu jin da 	路錦達	c=1 d=1 t=10898
lu jing 	路徑	c=4 d=2.51678 t=1723
lu ka si 	盧卡斯	c=0 d=0.199501 t=13
lu ru 	錄入	c=5 d=1.19014 t=8404
lu shan hu 	陸珊瑚	c=1 d=1 t=3856
lu xian 	路線	c=3 d=0.1 t=8608
lu yong 	錄用	c=1 d=1 t=13789
luan 	亂	c=1 d=1 t=4218
luan le 	亂了	c=0 d=0.1 t=5427
lun 	輪	c=2 d=1.98511 t=5998
lun jian 	輪姦	c=0 d=0.1 t=9695
lun jian ni 	輪姦你	c=1 d=1 t=9696
lun wen 	論文	c=34 d=2.05885 t=13080
lun wen ma 	論文嗎	c=1 d=1 t=2931
lun yin 	綸音	c=1 d=1 t=2909
luo 	羅	c=1 d=1 t=3547
luo 	落	c=1 d=1 t=13396
luo ji 	羅技	c=8 d=2.81504 t=5645
luo ji 	邏輯	c=5 d=1.01966 t=9280
luo ke ren 	洛克人	c=1 d=1 t=4230
luo si 	螺絲	c=1 d=1 t=8098
luo xia 	落下	c=0 d=0.1 t=13252
luo xia le 	落下了	c=1 d=1 t=13253
lv 	率	c=1 d=1 t=4710
lv 	驢	c=1 d=1 t=11408
lv bu 	呂布	c=2 d=1.01897 t=12155
lv mao 	綠帽	c=1 d=1 t=9484
lv rou 	驢肉	c=0 d=0.1 t=11410
lv rou huo shao 	驢肉火燒	c=2 d=1.99501 t=11412
lve 	略	c=1 d=1.01044 t=10316
lve lve 	略略	c=0 d=0.1 t=9864
lve lve lve 	略略略	c=1 d=1 t=9865
ma 	嗎	c=127 d=3.64839 t=14394
ma 	媽	c=14 d=1.84891 t=12028
ma 	罵	c=1 d=1 t=2769
ma 	馬	c=7 d=2.29236 t=13959
ma bi 	麻痹	c=1 d=1 t=2833
ma che 	馬車	c=1 d=1 t=4470
ma de 	嗎的	c=3 d=1.5198 t=9717
ma fan 	麻煩	c=3 d=0.947894 t=13339
ma fan lao shi le 	麻煩老師了	c=1 d=1 t=13340
ma li ao 	馬里奧	c=8 d=1.5689 t=4723
ma ren 	罵人	c=1 d=1 t=2126
ma shang 	馬上	c=1 d=1 t=1060
ma xia 	馬下	c=1 d=1 t=11364
mai 	脈	c=1 d=1 t=4526
mai 	買	c=7 d=1.00369 t=14347
mai bu chu qu 	賣不出去	c=1 d=1 t=14373
mai dan 	買單	c=1 d=1 t=11008
mai dang lao 	麥當勞	c=1 d=1 t=2883
mai de 	買的	c=4 d=1 t=12988
mai fang 	買房	c=1 d=1 t=6894
mai ge 	買個	c=1 d=1 t=13017
mai le 	賣了	c=1 d=1 t=14346
man 	慢	c=2 d=1 t=10008
man 	滿	c=2 d=1.97531 t=4009
man hua 	漫畫	c=1 d=1 t=3920
man man 	慢慢	c=1 d=1 t=10231
mao 	毛	c=1 d=1 t=4306
mao 	貓	c=1 d=1 t=4308
mao bing 	毛病	c=1 d=1 t=12814
mao keng 	茅坑	c=0 d=0.1 t=2535
mao pao 	冒泡	c=1 d=1.01755 t=1380
mao pao pai xu 	冒泡排序	c=2 d=1.19889 t=1356
me 	麼	c=0 d=0.1 t=2329
mei 	沒	c=44 d=0.131446 t=14407
mei ban fa 	沒辦法	c=1 d=1 t=12230
mei bi yao 	沒必要	c=3 d=1.67159 t=4622
mei bi yao le 	沒必要了	c=1 d=1 t=3283
mei ci 	每次	c=6 d=1.00285 t=11001
mei cuo 	沒錯	c=2 d=1.00001 t=9776
mei dan mu 	沒彈幕	c=1 d=1 t=12789
mei dian 	沒電	c=1 d=1 t=2647
mei duo shao 	沒多少	c=1 d=1 t=5336
mei fa 	沒法	c=5 d=1.00003 t=7136
mei gai 	沒改	c=2 d=1 t=11117
mei ge 	每個	c=2 d=1 t=9075
mei ge yue 	每個月	c=1 d=1 t=3361
mei gong zuo 	沒工作	c=2 d=1.9802 t=6328
mei guan xi 	沒關係	c=2 d=1.43823 t=6366
mei gui 	玫瑰	c=1 d=1 t=1658
mei guo 	沒過	c=1 d=1 t=7245
mei guo 	美國	c=1 d=1 t=1095
mei hao 	沒好	c=1 d=1 t=8830
mei ju 	美劇	c=1 d=1 t=4838
mei kan dao 	沒看到	c=4 d=1.00093 t=14176
mei le 	沒了	c=5 d=1.00002 t=7745
mei li 	美麗	c=2 d=1.99005 t=6530
mei na me 	沒那麼	c=0 d=0.1 t=7443
mei na me duo 	沒那麼多	c=1 d=1 t=2889
mei na me jian dan 	沒那麼簡單	c=1 d=1 t=7444
mei ne 	沒呢	c=1 d=1 t=11643
mei pai 	每排	c=0 d=0.1 t=8526
mei qi 	沒氣	c=1 d=1 t=5834
mei qian 	沒錢	c=1 d=1 t=10654
mei rang wo 	沒讓我	c=1 d=1 t=11071
mei ren 	沒人	c=3 d=0.100008 t=14622
mei ren cha 	沒人查	c=1 d=1 t=10837
mei ren le 	沒人了	c=1 d=1 t=14623
mei ri 	每日	c=1 d=1 t=508
mei sha 	沒啥	c=3 d=0.104945 t=10193
mei sha qu bie 	沒啥區別	c=1 d=1 t=10194
mei sha ren 	沒殺人	c=1 d=1 t=8508
mei shang guo 	沒上過	c=1 d=1 t=2654
mei shei le 	沒誰了	c=1 d=1 t=11439
mei shi 	沒事	c=10 d=2.0919 t=13067
mei shi le 	沒事了	c=1 d=1 t=12960
mei shua ya 	沒刷牙	c=1 d=1 t=11404
